name;title;permission_name;about_model_class
user_registered;Регистрация пользователя;user_get_notification_user_registered;App\User
landing_feed_back_created;Новое сообщение обратной связи;user_get_notification_landing_feed_back_created;App\Models\Landing\LandingFeedBack
tech_support_report_created;Новое обращение в тех.поддержку;user_get_notification_tech_support_report_created;App\Models\TechSupport\TechSupportReport
document_of_queue_generated;Уведомление о создан документе;user_get_document_of_queue_generated;App\Models\Document\Document
